playlist_name,track_name,artist,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,url,cover
Your Top Songs 2019,Already Over,Red,264947,5,0,4,0.00295,0.419,0.673,0.0,0.0943,-6.577,0.0391,0.17,103.017,https://open.spotify.com/track/3SP1LUtLle97QNFvFFopnG,https://i.scdn.co/image/ab67616d0000b2739bb59162c120bc6396d6900f
Your Top Songs 2019,Lullaby,"R3HAB, Mike Williams",160184,1,0,4,0.0267,0.626,0.8,0.000133,0.0623,-3.988,0.035,0.26,127.965,https://open.spotify.com/track/4BLEnHP1FInl1u3xAbgI4n,https://i.scdn.co/image/ab67616d0000b273fe857e71cd0d93c2e55c5ae2
Your Top Songs 2019,Hands,"Mike Perry, The Vamps, Sabrina Carpenter",167195,0,0,4,0.0175,0.719,0.705,0.0,0.348,-5.057,0.0444,0.599,100.03,https://open.spotify.com/track/5153LWKMJiMNIRCChGN4Ja,https://i.scdn.co/image/ab67616d0000b273a2267f724c1488091301bd9e
Your Top Songs 2019,Still - Jugo Style,SkennyBeatz,171529,4,0,4,0.0387,0.7,0.468,0.0,0.0701,-6.652,0.0392,0.597,92.015,https://open.spotify.com/track/6ebvJzdJulz0toRwwet4J3,https://i.scdn.co/image/ab67616d0000b273f261dce14c4b4b4b26234ad9
Your Top Songs 2019,Get Back,Nine Lashes,185720,5,1,4,0.000613,0.581,0.888,0.0,0.563,-4.305,0.0385,0.899,126.024,https://open.spotify.com/track/4Ux679XMGYSxIKWrSnQgjn,https://i.scdn.co/image/ab67616d0000b273a6d7d1c3f71063f9a873ebdd
Your Top Songs 2019,Darkest Part,Red,242867,5,0,4,0.000573,0.325,0.91,0.106,0.064,-4.878,0.169,0.142,132.094,https://open.spotify.com/track/4Dsxp3FZYCLUxYjQpQo1BP,https://i.scdn.co/image/ab67616d0000b2738d6ede155b9d9f12513ecf44
Your Top Songs 2019,More Than You Know,Axwell /\ Ingrosso,203000,5,0,4,0.0275,0.646,0.741,0.0,0.312,-4.973,0.034,0.571,123.077,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP,https://i.scdn.co/image/ab67616d0000b273fba6de0b38b0168d480b1a27
Your Top Songs 2019,2U,"David Guetta, Justin Bieber",194907,8,0,4,0.225,0.551,0.651,0.0,0.224,-5.828,0.0594,0.562,144.875,https://open.spotify.com/track/762UXiwEHYY97VL45sAUPR,https://i.scdn.co/image/ab67616d0000b273c7203e70bf328d5f6cb8e988
Your Top Songs 2019,Breaking Out,Nine Lashes,196280,0,1,4,4.58e-05,0.537,0.903,0.0,0.128,-5.362,0.0358,0.455,130.058,https://open.spotify.com/track/7fKMMywuZyvrGmZ2aICyAW,https://i.scdn.co/image/ab67616d0000b2730eecf7f92a8e19248eb95283
Your Top Songs 2019,Faceless,Red,203520,11,0,4,1.92e-05,0.293,0.904,0.0,0.103,-4.155,0.0736,0.294,172.168,https://open.spotify.com/track/05tn6MGYoFRaXPYQpZmPcc,https://i.scdn.co/image/ab67616d0000b27369369a37140c4061d4e7a2ab
